transaction_id,account_id,amount,country,transaction_date
f006026c-c04a-4ac4-9816-526ddc40608c,ACC9935,366.42,AU,2025-03-23 01:39:00
fd52e4e8-ea69-4a93-b58b-d2a2811cd8ce,ACC9928,166.86,CA,2025-03-05 07:21:00
c18352c8-8483-49b5-ae76-d02dc44b1291,ACC3615,1744.63,US,2025-11-02 11:38:00
10810c8f-c993-4c9e-b2c1-2ed3dc3fe7cb,ACC6635,459.08,US,2025-11-04 17:43:00
2adc0b59-9a9c-45bc-bd03-abc43f69bf5b,ACC7201,9593.87,CM,2025-07-12 14:50:00
cd636473-5f47-465c-a493-b5a77559209d,ACC4150,3934.78,SG,2025-02-27 09:07:00
3640ddec-3cba-4523-979b-484cde9f83fa,ACC4814,302.39,US,2025-02-20 15:33:00
73b40133-8e9d-4c96-9f8a-4b0b854d304e,ACC6820,373.1,GB,2025-03-15 13:07:00
c53762e6-a44b-4e88-947e-b4ddeef0883b,ACC3803,2472.32,US,2025-06-02 13:24:00
1d7431bf-8c81-42af-b19b-5a1d5e2d12da,ACC1916,1274.75,AU,2025-06-28 06:22:00
c18d060d-74fd-483a-84a4-6dc4de748352,ACC2084,9706.76,IR,2025-06-16 18:54:00
69a096e7-3bc9-4a4d-8db9-243db47a22d4,ACC9179,147814.14,BO,2025-06-03 15:11:00
037ff490-08da-48b7-a0cb-0219d7b8a3ae,ACC3287,9463.63,FR,2025-10-16 02:10:00
e7665a81-2e44-4fc4-bf88-9db6f4945db1,ACC8019,9307.93,MC,2025-06-29 14:07:00
f7f3ff61-8bbb-4002-9b3f-28624ae76d0f,ACC3504,629.76,SG,2025-10-18 20:01:00
ebb31801-44dc-460c-8b4f-821711dcbbc1,ACC7252,9132.82,GB,2025-04-27 11:53:00
82d72b56-00aa-4520-aa84-285041e985c0,ACC6573,1492.02,DE,2025-12-07 19:45:00
f799ca0f-4a1a-48d7-a0c0-bf9a24ff8e19,ACC3927,3398.26,AE,2025-03-23 05:30:00
fdea8ec6-ae73-4b77-9028-b02b25be85ee,ACC4258,8947.37,KE,2025-03-19 11:39:00
ece5d58e-2ecd-4892-b221-0188d6940465,ACC6947,990.59,GB,2025-04-22 07:03:00
