transaction_id,account_id,amount,country,transaction_date
86905854-4ab4-4b59-9183-79a0e35f806f,ACC9935,366.42,AU,2025-03-23 01:39:00
a4f2b932-c668-4bdb-810b-42a843771126,ACC9928,166.86,CA,2025-03-05 07:21:00
be58f07d-efd8-4eb5-b5d8-b3ccc4e26586,ACC3615,1744.63,US,2025-11-02 11:38:00
af68d980-1e6f-495a-8532-4ca44688916a,ACC6635,459.08,US,2025-11-04 17:43:00
236cd8ce-c735-423d-a4dd-9f3697b5fa63,ACC7201,9593.87,CM,2025-07-12 14:50:00
6ac55771-ed50-4f79-bceb-406bf9ffeb70,ACC4150,3934.78,SG,2025-02-27 09:07:00
f1be723a-21ed-4c37-b482-bdac6a76c73d,ACC4814,302.39,US,2025-02-20 15:33:00
2be71126-636a-46bd-a890-2cd170843fb3,ACC6820,373.1,GB,2025-03-15 13:07:00
309a63f0-affb-436b-b13c-fa50350d519e,ACC3803,2472.32,US,2025-06-02 13:24:00
d2f7a0b7-39c8-4c16-b371-c4080ad8bac4,ACC1916,1274.75,AU,2025-06-28 06:22:00
2c409e3d-506e-4f31-907d-e1512d04a8fa,ACC2084,9706.76,IR,2025-06-16 18:54:00
94149127-38fb-4fcc-98a8-6bae56d67570,ACC9179,147814.14,BO,2025-06-03 15:11:00
503a6593-35d7-44b5-9ebd-8227c7dc9ded,ACC3287,9463.63,FR,2025-10-16 02:10:00
e0e90bcb-fefc-4fe9-8164-242ac8871e96,ACC8019,9307.93,MC,2025-06-29 14:07:00
ba9ff6c1-4dc6-476a-a32f-765ef7dabf37,ACC3504,629.76,SG,2025-10-18 20:01:00
82554fe5-288a-4770-a106-80217a610e26,ACC7252,9132.82,GB,2025-04-27 11:53:00
9beba863-5040-45ba-a25b-d6a004586ee1,ACC6573,1492.02,DE,2025-12-07 19:45:00
69ada964-7ff6-46ef-ab92-2480ec957b4c,ACC3927,3398.26,AE,2025-03-23 05:30:00
8136a2a1-9a74-44a2-bcd8-8074b364f62e,ACC4258,8947.37,KE,2025-03-19 11:39:00
19c74034-bed2-4701-88e8-d0f9863d439f,ACC6947,990.59,GB,2025-04-22 07:03:00
001923d0-21ec-4288-b9a3-acbca4f37511,ACC8962,193.83,US,2025-08-12 22:11:00
aa1fd385-3970-4623-9aaf-e8fbb43e7f6e,ACC3705,38265.69,NA,2025-02-20 09:34:00
b731e2bf-0554-40d8-b229-0b5da0e90f3b,ACC7118,2595.84,FR,2025-07-13 00:12:00
1582a8d5-7750-455e-9725-f7daecaf1d36,ACC2049,9176.78,AU,2025-11-16 00:21:00
fbe2d6c4-98b8-483c-8fa3-59eea8f9c48b,ACC1964,871.07,US,2025-09-04 04:28:00
cb0ee329-cd47-457a-a361-e4fb63696b32,ACC5562,157.48,JP,2025-06-16 17:02:00
0cbdc0ea-f6ce-4f0e-949c-caefe0001c4b,ACC7669,877.73,SG,2025-12-20 11:13:00
f2f9f3d7-dd73-4418-b56d-e7978cfd59d0,ACC1887,1104.19,FR,2025-05-19 15:39:00
83450eca-a640-4c2e-89aa-ad119681ccc7,ACC4139,7016.5,US,2025-03-13 15:58:00
f39daa44-6351-444e-a320-6f52413b1bad,ACC2235,268.49,JP,2025-05-19 12:08:00
5a9efd45-1779-4e0b-880a-025f2bc60034,ACC9856,9783.09,DE,2025-11-19 16:16:00
05a14455-b076-4bc4-97e8-31b9a8a779ce,ACC8956,431913.08,AO,2025-01-11 17:54:00
66ed5f7e-ba42-4673-a2ff-409199b629fb,ACC7396,535.71,FR,2025-12-17 12:20:00
88799776-1eb2-4a59-9903-3c65b06686b8,ACC8973,67771.11,NP,2025-07-13 02:45:00
1920b695-bc26-4306-9852-2b1e44b58255,ACC1821,1115.21,DE,2025-04-23 17:16:00
f03f6bd7-fd94-4061-b97a-9ba885b38095,ACC2312,1574.66,AE,2025-12-14 04:28:00
b6351953-ca24-4aac-becc-da015f16b45a,ACC1651,22.38,CA,2025-05-16 07:31:00
3320b1cd-10e1-4804-bc02-e8b3329f7665,ACC4346,954.27,AE,2025-03-01 16:45:00
83b52d11-abfd-45e2-9501-3f6a720f3163,ACC6180,346.03,DE,2025-08-17 18:45:00
86e3fd34-8e1d-45e2-9772-604693d35be4,ACC9808,1177.03,US,2025-02-22 19:46:00
35a7f320-92f4-406d-86fc-4e03a0613e68,ACC5002,208.04,US,2025-06-05 05:08:00
86959927-d775-437d-8df4-fe6b53f2417a,ACC9666,503.41,DE,2025-09-27 01:57:00
d24f7bf2-90eb-4df9-892e-a9fa7408afe2,ACC3200,3453.42,US,2025-01-06 16:43:00
